seed,scenario,n_players,game_length,terminated_by_cap,n_winners,winner_ids,gini_final,hhi_final,n_bankruptcies,first_bankruptcy_turn,social_mobility,capital_formation,wealth_min,wealth_max,wealth_mean,wealth_sd,rent_burden_mean
249090,Baseline,4,129,FALSE,1,4,0.75,1,3,106,10,50,0,4118,1029.5,2059,0.00919047619047619
249091,Baseline,4,200,TRUE,3,"1,3,4",0.303897014626327,0.337278106508876,1,149,14,72,0,2018,1247.75,868.764016673496,0.0121391941391941
249092,Baseline,4,115,FALSE,1,4,0.75,1,4,64,11,28,0,1208,302,604,0.0106495726495727
249093,Baseline,4,143,FALSE,1,4,0.75,1,3,85,12,76,0,980,245,490,0.0100438596491228
249094,Baseline,4,161,FALSE,1,4,0.75,1,3,76,17,79,0,2847,711.75,1423.5,0.0102291666666667
249095,Baseline,4,200,TRUE,3,"1,3,4",0.339116976213751,0.346153846153846,1,149,16,55,0,2480,1534.5,1127.62567666166,0.0193080168776371
249096,Baseline,4,182,FALSE,1,4,0.75,1,3,97,14,89,0,2919,729.75,1459.5,0.00734136546184739
249097,Baseline,4,200,TRUE,2,"3,4",0.517539267015707,0.501385041551246,3,61,14,134,0,1533,716.25,831.115064235994,0.0134901960784314
249098,Baseline,4,200,TRUE,2,"2,4",0.512890341321714,0.511834319526627,2,80,6,143,0,2172,1032.75,1195.68317291831,0.00894372294372294
249099,Baseline,4,200,TRUE,2,"1,4",0.517733172351343,0.528344671201814,2,129,15,102,0,1774,828.25,961.180654195662,0.0123106060606061
249100,Baseline,4,200,TRUE,3,"1,2,4",0.30752539242844,0.35969387755102,1,134,12,62,0,2179,1353.75,941.810446250554,0.0110714285714286
249101,Baseline,4,200,TRUE,2,"3,4",0.576833797585887,0.57396449704142,3,149,20,110,0,2816,1077,1355.99950835783,0.00829166666666667
249102,Baseline,4,200,TRUE,3,"1,3,4",0.307627118644068,0.344307270233196,1,117,4,121,0,1783,1106.25,769.983279039227,0.0107590759075908
249103,Baseline,4,200,TRUE,3,"1,2,3",0.329967875172097,0.36094674556213,1,95,10,95,0,1813,1089.5,780.261708232138,0.0130277777777778
249104,Baseline,4,127,FALSE,1,3,0.721461516287115,1,3,107,10,69,0,3271,867.25,1605.21595120407,0.013469387755102
249105,Baseline,4,123,FALSE,1,4,0.75,1,3,57,8,44,0,3453,863.25,1726.5,0.0150574712643678
249106,Baseline,4,151,FALSE,1,2,0.75,1,3,68,10,72,0,2112,528,1056,0.00838418079096045
249107,Baseline,4,146,FALSE,1,4,0.75,1,3,105,20,73,0,994,248.5,497,0.0104615384615385
249108,Baseline,4,200,TRUE,4,"1,2,3,4",0.154737384140062,0.278061224489796,0,,1,89,918,1870,1213.75,445.051588769961,0.0155535168195719
249109,Baseline,4,110,FALSE,1,3,0.75,1,3,49,6,42,0,1393,348.25,696.5,0.0101666666666667
249110,Baseline,4,200,TRUE,4,"1,2,3,4",0.168480043739748,0.278463648834019,0,,6,40,1337,3005,2286.25,839.817986232731,0.00825089605734767
249111,Baseline,4,200,TRUE,3,"1,2,4",0.456116360019891,0.3376,1,122,7,62,0,3545,1508.25,1486.8329596831,0.011562962962963
249112,Baseline,4,200,TRUE,3,"1,3,4",0.348192105989511,0.528061224489796,1,173,10,93,0,3157,1811.5,1340.80833827956,0.0108971962616822
249113,Baseline,4,138,FALSE,1,3,0.75,1,3,64,10,51,0,2903,725.75,1451.5,0.0101768707482993
249114,Baseline,4,157,FALSE,1,3,0.75,1,3,113,14,87,0,3885,971.25,1942.5,0.0129142857142857
249115,Baseline,4,161,FALSE,1,2,0.717914438502674,1,4,92,8,62,0,4375,1168.75,2142.1732539643,0.0120437158469945
249116,Baseline,4,200,TRUE,2,"2,4",0.551458855710052,0.53360768175583,3,78,4,173,0,2645,1096.75,1318.98278356214,0.00904385964912281
249117,Baseline,4,155,FALSE,1,1,0.75,1,3,102,12,96,0,3710,927.5,1855,0.0144607843137255
249118,Baseline,4,83,FALSE,1,1,0.699799196787149,1,3,53,8,32,0,1792,498,867.803357141851,0.010695652173913
249119,Baseline,4,131,FALSE,1,2,0.75,1,3,100,18,63,0,3005,751.25,1502.5,0.0100111111111111
249120,Baseline,4,99,FALSE,1,3,0.75,1,3,73,10,50,0,3969,992.25,1984.5,0.01075
249121,Baseline,4,133,FALSE,1,2,0.75,1,3,32,8,46,0,3812,953,1906,0.0107246376811594
249122,Baseline,4,186,FALSE,1,1,0.647645854657114,1,3,101,14,107,0,1554,488.5,734.934690976008,0.00861603375527426
249123,Baseline,4,176,FALSE,1,3,0.75,1,3,101,18,92,0,1399,349.75,699.5,0.010017094017094
249124,Baseline,4,143,FALSE,1,2,0.75,1,4,95,12,60,0,866,216.5,433,0.0112163742690058
249125,Baseline,4,200,TRUE,3,"1,3,4",0.291946672447431,0.344387755102041,1,69,10,114,0,1760,1153.25,785.957324965336,0.0141739130434783
249126,Baseline,4,194,FALSE,1,2,0.75,1,3,71,15,139,0,707,176.75,353.5,0.0122666666666667
249127,Baseline,4,107,FALSE,1,1,0.75,1,3,47,6,64,0,4048,1012,2024,0.0174705882352941
249128,Baseline,4,200,TRUE,2,"2,4",0.525533290239173,0.505,2,110,6,75,0,1705,773.5,902.429498631334,0.0118333333333333
249129,Baseline,4,200,TRUE,2,"1,4",0.53439906260462,0.506172839506173,2,133,10,75,0,1699,746.75,878.446118628419,0.00831501831501832
249130,Baseline,4,200,TRUE,2,"3,4",0.502481143310838,0.510204081632653,2,112,18,102,0,1272,629.75,727.2442849552,0.00896219931271478
249131,Baseline,4,200,TRUE,2,"2,4",0.557971599160884,0.755102040816326,2,128,12,59,0,3817,1549.25,1882.65652293065,0.0118297872340426
249132,Baseline,4,185,FALSE,1,3,0.75,1,3,63,10,119,0,1639,409.75,819.5,0.00837209302325582
249133,Baseline,4,153,FALSE,1,4,0.75,1,3,102,4,64,0,1942,485.5,971,0.0109389671361502
249134,Baseline,4,200,TRUE,4,"1,2,3,4",0.23,0.255102040816327,0,,4,89,1338,3740,1968.75,1181.2849994815,0.00837931034482759
249135,Baseline,4,200,TRUE,3,"1,2,3",0.396457916944259,0.410150891632373,1,127,5,111,0,2110,1125.75,926.450709248294,0.00834814814814815
249136,Baseline,4,186,FALSE,1,2,0.75,1,4,123,9,101,0,3550,887.5,1775,0.00865853658536586
249137,Baseline,4,200,TRUE,3,"1,2,4",0.440182106096595,0.3408,1,154,7,95,0,3479,1578.75,1459.1829620259,0.00878260869565217
249138,Baseline,4,200,TRUE,2,"1,2",0.56525899464149,0.5392,2,158,14,118,0,2471,979.75,1205.94427040943,0.00989308176100629
249139,Baseline,4,130,FALSE,1,4,0.75,1,3,72,6,75,0,1152,288,576,0.00909722222222222
249140,Baseline,4,189,FALSE,1,3,0.75,1,4,149,15,84,0,3959,989.75,1979.5,0.0108550724637681
249141,Baseline,4,87,FALSE,1,2,0.727450529222273,1,3,67,3,28,0,4150,1086.5,2044.42224927566,0.0153725490196078
249142,Baseline,4,199,FALSE,1,2,0.75,1,3,83,10,97,0,1639,409.75,819.5,0.00757264957264957
249143,Baseline,4,182,FALSE,1,3,0.75,1,3,84,9,102,0,2139,534.75,1069.5,0.0123055555555556
249144,Baseline,4,121,FALSE,1,3,0.728070175438597,1,3,57,10,46,0,4360,1140,2148.73606258811,0.00899319727891157
249145,Baseline,4,144,FALSE,1,2,0.75,1,3,96,7,67,0,2150,537.5,1075,0.0138905472636816
249146,Baseline,4,200,TRUE,2,"1,2",0.480932733183296,0.500945179584121,2,82,11,105,0,2043,999.75,1050.69258904147,0.0102139917695473
249147,Baseline,4,175,FALSE,1,4,0.75,1,3,161,6,95,0,4486,1121.5,2243,0.0111037037037037
249148,Baseline,4,174,FALSE,1,4,0.734539270253556,1,3,94,6,109,0,3134,808.5,1551.04985950377,0.013431693989071
249149,Baseline,4,200,TRUE,3,"1,2,4",0.313140676117775,0.366255144032922,2,94,10,127,0,1855,1146.25,801.615192387636,0.0101699346405229
249150,Baseline,4,200,TRUE,4,"1,2,3,4",0.242698191933241,0.25765306122449,0,,14,87,1129,3433,1797.5,1094.16772023305,0.00905014749262537
249151,Baseline,4,104,FALSE,1,4,0.75,1,3,65,5,33,0,5433,1358.25,2716.5,0.0126991869918699
